issueUID,projectName,raw images
DzSHqdPB76-37:1~1,1,"20191031_131105_R,20191031_131106_R,20191031_131107_R"
DzSHqdPB76-42:2~1,1,"20191031_131518_R,20191031_131519_R,20191031_131520_R"
DzSHqdPB76-39:1~1,1,"20191031_131105_R,20191031_131106_R,20191031_131107_R"
DzSHqdPB76-40:1~1,1,"20191031_131105_R,20191031_131106_R,20191031_131107_R"
DzSHqdPB76-40:2~1,1,"20191031_131105_R,20191031_131106_R,20191031_131107_R"
DzSHqdPB76-35:2~1,1,"20191031_131040_R,20191031_131041_R,20191031_131042_R"
DzSHqdPB76-37:3~1,1,"20191031_131112_R,20191031_131113_R,20191031_131114_R"
DzSHqdPB76-39:4~2,1,"20191031_131112_R,20191031_131113_R,20191031_131114_R"
DzSHqdPB76-41:7~1,1,"20191031_131122_R,20191031_131123_R,20191031_131124_R"
DzSHqdPB76-43:5~1,1,"20191031_131614_R,20191031_131615_R,20191031_131616_R"
DzSHqdPB76-40:5~1,1,"20191031_131118_R,20191031_131119_R,20191031_131120_R"
DzSHqdPB76-39:7~1,1,"20191031_131118_R,20191031_131119_R,20191031_131120_R"
DzSHqdPB76-41:8~1,1,"20191031_131122_R,20191031_131123_R,20191031_131124_R"
DzSHqdPB76-43:7~1,1,"20191031_131457_R,20191031_131458_R,20191031_131459_R"
DzSHqdPB76-43:7~2,1,"20191031_131457_R,20191031_131458_R,20191031_131459_R"
DzSHqdPB76-41:9~1,1,"20191031_131125_R,20191031_131126_R,20191031_131127_R"
DzSHqdPB76-38:7~1,1,"20191031_131125_R,20191031_131126_R,20191031_131127_R"
DzSHqdPB76-38:7~2,1,"20191031_131125_R,20191031_131126_R,20191031_131127_R"
DzSHqdPB76-38:7~3,1,"20191031_131125_R,20191031_131126_R,20191031_131127_R"
DzSHqdPB76-38:7~4,1,"20191031_131125_R,20191031_131126_R,20191031_131127_R"
DzSHqdPB76-40:8~1,1,"20191031_131125_R,20191031_131126_R,20191031_131127_R"
DzSHqdPB76-40:8~2,1,"20191031_131125_R,20191031_131126_R,20191031_131127_R"
DzSHqdPB76-41:9~2,1,"20191031_131125_R,20191031_131126_R,20191031_131127_R"
DzSHqdPB76-41:9~3,1,"20191031_131125_R,20191031_131126_R,20191031_131127_R"
DzSHqdPB76-37:14~1,1,"20191031_131144_R,20191031_131145_R,20191031_131146_R"
DzSHqdPB76-35:15~1,1,"20191031_130953_R,20191031_130954_R,20191031_130955_R"
DzSHqdPB76-38:16~1,1,"20191031_131157_R,20191031_131158_R,20191031_131159_R"
